--------- beginning of main
07-26 20:19:14.166 19189 19230 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:19:14.167 19189 19230 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:19:14.168 19189 19230 I LAT     : ========================================================
07-26 20:19:19.227 19189 19334 I LAT     : ===== LATENCY LOG [T+825s | N=4051] =====
07-26 20:19:19.231 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:19:19.234 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=30ms
07-26 20:19:19.237 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:19:19.239 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:19:19.241 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:19:19.242 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:19:19.242 19189 19334 I LAT     : ========================================================
07-26 20:19:24.305 19189 19332 I LAT     : ===== LATENCY LOG [T+831s | N=4076] =====
07-26 20:19:24.309 19189 19332 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:19:24.315 19189 19332 I LAT     :   Serial     | avg=6ms  min=2ms  max=30ms
07-26 20:19:24.319 19189 19332 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:19:24.321 19189 19332 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:19:24.323 19189 19332 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:19:24.325 19189 19332 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:19:24.325 19189 19332 I LAT     : ========================================================
07-26 20:19:29.387 19189 19230 I LAT     : ===== LATENCY LOG [T+836s | N=4101] =====
07-26 20:19:29.392 19189 19230 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
